loyalty_number,clv,enrollment_tenure_months,card_tier_encoded,salary_encoded,education_encoded,never_flew_flag,gender_Male,marital_status_Married,marital_status_Single,flights_3m,distance_3m,pts_earned_3m,pts_redeemed_3m,active_months_3m,flights_6m,distance_6m,pts_earned_6m,pts_redeemed_6m,active_months_6m,flights_12m,distance_12m,pts_earned_12m,pts_redeemed_12m,active_months_12m,flights_18m,distance_18m,pts_earned_18m,pts_redeemed_18m,active_months_18m,months_since_last_flight,flight_trend,redemption_ratio,seasons_flown,churn_label
480934,3839.14,28,0,83236.0,3,0,0,1,0,6,5740,5740.0,0,2,6,5740,5740.0,0,2,15,17942,17942.0,322,6,24,31092,31092.0,322,9,1.0,6,0.010356361765084266,4.0,0
549612,3839.61,27,0,73510.0,2,0,1,0,0,11,16708,16708.0,0,3,14,20163,20163.0,353,5,30,38245,38245.0,1140,9,45,56299,56299.0,1140,13,0.0,8,0.02024902751381019,4.0,0
429460,3839.75,47,0,73510.0,2,0,1,0,1,0,0,0.0,0,0,2,1846,1846.0,0,1,9,14375,14375.0,0,4,18,24803,24803.0,374,8,5.0,-2,0.015078821110349555,4.0,1
608370,3839.75,64,0,73510.0,2,0,1,0,1,3,4541,4541.0,0,2,6,8785,8785.0,0,4,12,15371,15371.0,0,7,30,42154,42154.0,864,13,0.0,0,0.0204962755610381,4.0,0
530508,3842.79,44,0,103495.0,3,0,1,1,0,7,11681,11681.0,0,2,9,14475,14475.0,0,4,15,25571,25571.0,0,6,20,34361,34361.0,0,8,0.0,5,0.0,4.0,0
193662,3844.57,73,0,51124.0,3,0,1,1,0,13,26439,26439.0,0,3,19,34681,34681.0,0,5,48,81938,81938.0,444,11,71,119399,119399.0,854,16,0.0,7,0.00715248871431084,4.0,0
927943,3857.95,48,0,73510.0,2,0,0,0,1,9,13768,13768.0,0,3,13,20021,20021.0,409,5,18,24637,24637.0,964,8,29,41713,41713.0,1583,11,0.0,5,0.037949799822597274,4.0,0
188893,3861.49,18,0,100159.0,3,0,1,1,0,5,9731,9731.0,0,2,8,12770,12770.0,399,4,14,21806,21806.0,399,7,31,55005,55005.0,733,12,0.0,2,0.01332606126715753,4.0,0
852392,3861.49,37,0,100159.0,3,0,0,1,0,3,7266,7266.0,0,1,5,10675,10675.0,0,3,10,20122,20122.0,492,6,25,47179,47179.0,990,10,2.0,1,0.02098391233387736,4.0,0
866307,3861.49,20,0,100159.0,3,0,1,1,0,7,11496,11496.0,0,2,12,15343,15343.0,626,4,16,20904,20904.0,1120,6,35,43478,43478.0,1683,11,0.0,2,0.03870923225539353,4.0,0
932823,3863.31,39,0,66444.0,3,0,0,1,0,12,15079,15079.0,0,3,16,23012,23012.0,0,5,33,51810,51810.0,0,11,41,68751,68751.0,499,14,0.0,8,0.007258076246163692,4.0,0
144514,3864.78,24,0,49618.0,3,0,0,1,0,7,10354,10354.0,0,3,12,19939,19939.0,505,5,21,33120,33120.0,505,9,24,36909,36909.0,505,10,0.0,2,0.013682299710097809,4.0,0
611765,3867.97,5,0,90175.0,3,0,1,0,1,4,3054,3054.0,0,2,10,15756,15756.0,0,4,10,15756,15756.0,0,4,10,15756,15756.0,0,4,1.0,-2,0.0,2.0,0
988178,3871.07,56,0,73510.0,2,0,1,0,1,6,9296,9296.0,0,2,13,15321,15321.0,0,4,28,40931,40931.0,0,10,51,70331,70331.0,679,16,1.0,-1,0.009654348722469466,4.0,0
286114,3872.22,19,0,73510.0,2,0,0,0,1,4,4156,4156.0,0,1,4,4156,4156.0,386,1,15,20481,20481.0,386,5,18,23388,23388.0,1551,7,0.0,4,0.06631605951770138,3.0,0
205785,3873.65,22,0,128118.0,4,0,1,1,0,2,2624,2624.0,0,1,4,3654,3654.0,0,2,20,25015,25015.0,1233,8,31,44485,44485.0,1233,11,2.0,0,0.027717208047656514,4.0,0
735304,3873.65,18,0,128118.0,4,0,0,1,0,5,7837,7837.0,0,3,9,13933,13933.0,0,6,15,26233,26233.0,0,9,18,30065,30065.0,608,12,0.0,1,0.020222850490603694,4.0,0
438936,3878.77,56,0,94092.0,3,0,1,1,0,7,7058,7058.0,0,2,9,10546,10546.0,499,3,24,31266,31266.0,499,8,38,47978,47978.0,499,12,0.0,5,0.0104006002751261,4.0,0
172755,5303.76,3,2,73510.0,2,0,0,0,1,21,17374,26061.0,0,3,21,17374,26061.0,0,3,21,17374,26061.0,0,3,21,17374,26061.0,0,3,0.0,21,0.0,2.0,0
354730,3885.46,44,0,73510.0,2,0,0,1,0,0,0,0.0,0,0,0,0,0.0,0,0,9,13384,13384.0,0,4,20,36872,36872.0,0,8,7.0,0,0.0,4.0,1
413741,3885.46,35,0,73510.0,2,0,0,1,0,5,6270,6270.0,0,1,8,7899,7899.0,0,3,22,36462,36462.0,874,8,30,50373,50373.0,1410,11,1.0,2,0.02799118575427312,4.0,0
552965,3885.46,0,0,73510.0,2,0,1,1,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0
642313,3885.46,27,0,73510.0,2,0,1,1,0,11,19545,19545.0,0,3,14,23857,23857.0,0,5,24,32441,32441.0,1099,9,33,47139,47139.0,1506,13,0.0,8,0.031948068478330045,4.0,1
263080,3886.5,49,0,73510.0,2,0,1,0,1,4,5937,5937.0,346,3,8,13845,13845.0,346,5,14,21875,21875.0,346,7,22,30843,30843.0,346,9,0.0,0,0.01121810459423532,4.0,0
109767,3886.65,25,0,89062.0,3,0,0,0,1,7,12913,12913.0,601,2,12,17787,17787.0,601,4,22,36281,36281.0,1256,10,31,48990,48990.0,1752,15,1.0,2,0.035762400489895894,4.0,0
217754,3887.32,36,0,102400.0,3,0,0,0,1,5,8915,8915.0,0,1,6,10256,10256.0,0,2,15,27258,27258.0,0,4,26,43983,43983.0,0,9,0.0,4,0.0,3.0,0
157005,3890.87,20,0,98629.0,3,0,1,1,0,6,11526,11526.0,0,2,8,16526,16526.0,0,3,21,33325,33325.0,0,8,36,52738,52738.0,0,14,0.0,4,0.0,4.0,0
557752,3890.87,8,0,98629.0,3,0,0,1,0,2,2626,2626.0,662,1,6,5733,5733.0,662,3,11,16988,16988.0,662,4,11,16988,16988.0,662,4,1.0,-2,0.038968683776783614,2.0,0
608758,3890.96,59,0,63795.0,3,0,1,1,0,5,6026,6026.0,0,3,12,16832,16832.0,0,5,19,28751,28751.0,0,9,25,41760,41760.0,0,12,0.0,-2,0.0,4.0,0
599341,3891.54,31,0,54890.0,3,0,0,1,0,3,5321,5321.0,0,2,9,12599,12599.0,880,5,34,62061,62061.0,1425,11,46,81241,81241.0,1863,17,1.0,-3,0.022931770903853965,4.0,0
333502,3891.58,51,0,73510.0,2,0,1,1,0,7,11048,11048.0,0,2,10,15752,15752.0,0,3,21,31802,31802.0,0,6,24,35456,35456.0,0,7,0.0,4,0.0,4.0,0
201574,3893.31,38,0,51375.0,3,1,0,1,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,2
403361,3895.03,8,0,70222.0,3,0,1,0,1,0,0,0.0,0,0,5,6428,6428.0,0,2,8,12611,12611.0,0,3,8,12611,12611.0,0,3,3.0,-5,0.0,3.0,0
543918,3896.57,67,0,40736.0,1,0,1,1,0,6,10777,10777.0,0,2,11,18821,18821.0,537,4,30,42738,42738.0,1644,10,41,60743,60743.0,2524,14,0.0,1,0.041552113000674976,4.0,0
806030,3903.47,1,0,75861.0,3,0,0,1,0,4,8988,8988.0,0,1,4,8988,8988.0,0,1,4,8988,8988.0,0,1,4,8988,8988.0,0,1,0.0,4,0.0,1.0,0
119200,3903.8,13,0,69835.0,3,0,0,0,0,6,10920,10920.0,513,2,11,18365,18365.0,513,5,16,26396,26396.0,513,8,21,33321,33321.0,513,9,0.0,1,0.015395696407670838,4.0,0
938981,5337.35,2,2,73510.0,2,0,0,0,1,8,8864,13296.0,0,1,8,8864,13296.0,0,1,8,8864,13296.0,0,1,8,8864,13296.0,0,1,1.0,8,0.0,1.0,0
238119,3906.67,61,0,75980.0,3,0,1,1,0,10,23482,23482.0,0,2,17,29177,29177.0,611,4,30,48832,48832.0,611,8,42,67827,67827.0,611,12,0.0,3,0.009008212068940098,4.0,0
730388,3907.03,73,0,73510.0,2,0,1,0,1,4,3706,3706.0,0,2,7,7775,7775.0,0,4,20,25514,25514.0,0,9,30,41947,41947.0,0,12,1.0,1,0.0,4.0,0
834891,3911.12,15,0,54460.0,3,1,0,1,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,2
127400,3914.72,48,0,73510.0,2,0,0,0,1,9,14749,14749.0,0,3,11,18007,18007.0,0,5,21,30345,30345.0,0,9,24,33105,33105.0,528,10,0.0,7,0.015949252378794743,4.0,0
324557,3914.72,64,0,73510.0,2,0,0,0,1,8,14792,14792.0,0,2,12,19737,19737.0,0,4,24,41921,41921.0,645,9,28,45641,45641.0,645,12,0.0,4,0.01413203041125304,4.0,0
742002,3915.8,25,0,73510.0,2,0,0,0,1,3,6162,6162.0,0,1,8,16098,16098.0,0,3,12,25810,25810.0,0,4,21,39601,39601.0,0,7,2.0,-2,0.0,3.0,0
536567,3919.37,25,0,80697.0,3,0,1,1,0,9,11728,11728.0,494,3,16,21652,21652.0,900,6,35,47327,47327.0,900,11,39,50451,50451.0,900,13,0.0,2,0.017839091395611583,4.0,0
704835,3919.37,21,0,80697.0,3,0,1,1,0,9,16672,16672.0,0,3,13,22468,22468.0,0,5,25,35337,35337.0,501,10,31,48927,48927.0,963,12,0.0,5,0.01968238395977681,4.0,0
733338,3919.37,24,0,80697.0,3,0,0,1,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,3,4497,4497.0,0,1,17.0,0,0.0,1.0,1
758635,3919.37,0,0,80697.0,3,0,1,1,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0
823048,3919.37,1,0,80697.0,3,0,1,1,0,4,3184,3184.0,0,1,4,3184,3184.0,0,1,4,3184,3184.0,0,1,4,3184,3184.0,0,1,0.0,4,0.0,1.0,0
612905,3920.51,40,0,73510.0,2,0,0,1,0,4,5152,5152.0,0,1,10,12970,12970.0,0,4,21,30932,30932.0,569,8,27,39794,39794.0,569,11,1.0,-2,0.014298637985625974,4.0,0
679908,3921.02,34,0,77601.0,3,0,0,1,0,1,1332,1332.0,0,1,7,10019,10019.0,444,4,14,20567,20567.0,444,7,31,49417,49417.0,979,13,2.0,-5,0.019810996215877126,4.0,0
704150,3921.02,44,0,77601.0,3,0,1,1,0,4,7715,7715.0,557,2,9,14489,14489.0,557,4,15,22744,22744.0,557,8,28,38154,38154.0,966,12,1.0,-1,0.025318446296587513,4.0,0
869743,3924.42,19,0,73236.0,3,0,0,0,1,0,0,0.0,0,0,0,0,0.0,0,0,3,4326,4326.0,0,1,15,16548,16548.0,0,5,11.0,0,0.0,3.0,1
596179,3933.81,51,0,50879.0,3,0,0,0,1,9,21300,21300.0,0,3,11,24002,24002.0,0,4,20,38701,38701.0,0,7,41,75943,75943.0,0,13,0.0,7,0.0,4.0,0
370450,3934.1,67,0,62160.0,1,0,0,1,0,4,4764,4764.0,0,1,10,11182,11182.0,0,4,19,24583,24583.0,0,7,26,31768,31768.0,1382,10,0.0,-2,0.043502895995970785,4.0,0
501030,3934.71,15,0,93541.0,3,0,1,1,0,4,4494,4494.0,0,2,5,5691,5691.0,0,3,18,21226,21226.0,0,8,22,25299,25299.0,0,10,1.0,3,0.0,4.0,0
878633,3936.79,54,0,163974.0,5,0,0,1,0,4,6232,6232.0,0,2,10,13650,13650.0,0,4,20,24743,24743.0,0,7,37,47664,47664.0,0,11,0.0,-2,0.0,4.0,0
285938,3939.01,45,0,75827.0,3,0,0,1,0,2,3010,3010.0,0,1,9,11982,11982.0,0,3,20,30643,30643.0,0,7,31,46476,46476.0,0,11,1.0,-5,0.0,4.0,0
588237,3939.01,55,0,75827.0,3,0,1,1,0,0,0,0.0,0,0,1,1529,1529.0,0,1,10,9557,9557.0,0,4,24,24470,24470.0,939,9,3.0,-1,0.03837351859419698,4.0,0
645280,3939.01,66,0,75827.0,3,0,1,1,0,5,11415,11415.0,0,1,11,21228,21228.0,0,3,24,36970,36970.0,311,8,37,49890,49890.0,813,12,0.0,-1,0.01629585087191822,4.0,0
864324,3939.01,0,0,75827.0,3,0,0,1,0,11,11204,11204.0,1098,3,17,20858,20858.0,1098,5,30,40196,40196.0,1098,10,35,45316,45316.0,1686,12,0.0,5,0.03720540206549563,4.0,0
124678,3954.34,60,0,152955.0,5,0,1,1,0,9,16063,16063.0,0,2,11,20211,20211.0,0,3,23,36036,36036.0,0,7,37,62863,62863.0,304,12,0.0,7,0.004835913017196125,4.0,0
186015,3954.34,33,0,152955.0,5,0,1,1,0,7,7688,7688.0,504,2,12,16374,16374.0,504,4,18,29397,29397.0,504,6,28,42376,42376.0,504,9,0.0,2,0.011893524636586748,4.0,0
461108,3954.34,0,0,152955.0,5,0,1,1,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0
589580,3954.34,34,0,152955.0,5,0,1,1,0,7,8998,8998.0,441,2,11,17238,17238.0,441,4,22,42727,42727.0,1159,7,38,66248,66248.0,1159,12,1.0,3,0.017494867769593043,4.0,0
623688,3954.34,25,0,152955.0,5,0,0,1,0,6,13341,13341.0,0,2,12,24830,24830.0,767,5,25,44311,44311.0,1457,9,40,73065,73065.0,1457,14,0.0,0,0.019941148292616163,4.0,0
386082,5391.97,3,2,30486.0,3,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0
256147,3958.0,69,0,73510.0,2,0,0,1,0,5,9725,9725.0,0,1,9,15240,15240.0,0,4,22,38599,38599.0,339,9,35,57487,57487.0,339,13,0.0,1,0.005896985405396003,4.0,0
329382,3961.59,70,0,73510.0,2,1,1,0,1,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,2
140392,3963.39,59,0,96814.0,3,0,0,1,0,3,4044,4044.0,0,2,6,10771,10771.0,0,4,17,21862,21862.0,567,8,21,26025,26025.0,567,11,1.0,0,0.021786743515850145,4.0,0
112522,5636.74,4,2,49846.0,3,0,1,1,0,11,17300,25950.0,0,2,13,19992,29988.0,0,3,13,19992,29988.0,0,3,13,19992,29988.0,0,3,1.0,9,0.0,1.0,0
230908,3964.15,73,0,217538.0,5,0,1,0,0,3,3345,3345.0,0,2,7,6503,6503.0,0,4,20,17457,17457.0,822,8,36,49909,49909.0,822,13,1.0,-1,0.016469975355146365,4.0,0
972581,3964.53,28,0,48744.0,1,0,1,1,0,4,2548,2548.0,0,1,4,2548,2548.0,0,1,11,8037,8037.0,639,5,20,22939,22939.0,639,9,1.0,4,0.02785648894895157,4.0,0
357549,3964.73,0,0,76410.0,3,1,0,0,1,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,2
330694,6172.91,4,2,105053.0,3,0,0,1,0,20,38260,57390.0,0,1,24,47716,71574.0,0,2,24,47716,71574.0,0,2,24,47716,71574.0,0,2,0.0,16,0.0,2.0,0
910875,3966.13,67,0,84914.0,3,0,0,1,0,7,9977,9977.0,0,2,12,15900,15900.0,483,4,13,18114,18114.0,483,5,20,34009,34009.0,483,8,1.0,2,0.014202122967449793,3.0,0
501704,3974.86,61,0,73510.0,2,0,1,0,0,6,5140,5140.0,0,3,13,14010,14010.0,481,5,24,24116,24116.0,1938,8,31,30779,30779.0,2515,10,0.0,-1,0.0817115565807856,4.0,0
529098,3974.86,8,0,73510.0,2,0,0,0,0,5,7808,7808.0,0,2,7,11242,11242.0,0,4,12,17472,17472.0,467,5,12,17472,17472.0,467,5,0.0,3,0.026728479853479852,3.0,0
265297,3978.67,0,0,60519.0,3,0,0,1,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0
567875,3979.72,13,0,102457.0,3,0,0,1,0,3,2133,2133.0,0,1,3,2133,2133.0,0,1,6,8698,8698.0,0,3,7,11170,11170.0,0,4,1.0,3,0.0,3.0,0
688524,3980.42,63,0,103862.0,3,0,0,1,0,4,7139,7139.0,0,2,8,15192,15192.0,877,4,14,24448,24448.0,1341,6,19,30805,30805.0,2870,9,0.0,0,0.09316669371855218,4.0,0
269070,3985.32,65,0,93153.0,4,0,1,1,0,6,8027,8027.0,627,3,9,12686,12686.0,627,5,23,31775,31775.0,1300,11,37,48544,48544.0,1300,16,0.0,3,0.026779828609096903,4.0,0
387705,3985.32,62,0,93153.0,4,0,0,1,0,7,11113,11113.0,1154,3,14,20893,20893.0,1154,6,29,46828,46828.0,1154,10,34,51201,51201.0,1626,12,0.0,0,0.031757192242339013,4.0,0
923293,3985.55,24,0,86793.0,3,0,1,0,0,1,556,556.0,0,1,5,9305,9305.0,438,3,24,33723,33723.0,438,8,37,46168,46168.0,850,13,1.0,-3,0.018411020620343096,4.0,0
283314,3991.73,62,0,72127.0,3,1,0,1,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,2
322102,3992.58,58,0,73510.0,2,1,1,1,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,2
789157,3995.36,0,0,73510.0,2,0,0,0,1,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0
654748,3996.77,14,0,65721.0,3,0,0,1,0,0,0,0.0,0,0,0,0,0.0,0,0,11,14810,14810.0,0,4,12,16433,16433.0,0,5,6.0,0,0.0,3.0,1
984713,3997.48,0,0,73510.0,2,0,0,0,1,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0
114835,4001.52,11,0,101354.0,4,0,0,0,0,5,8108,8108.0,0,2,11,16226,16226.0,0,5,19,27506,27506.0,0,9,19,27506,27506.0,0,9,1.0,-1,0.0,4.0,0
328936,4005.72,39,0,53118.0,3,0,0,1,0,7,11853,11853.0,0,2,10,18387,18387.0,0,3,30,40482,40482.0,549,9,37,48798,48798.0,906,12,0.0,4,0.01856633468584778,4.0,0
845864,4013.85,62,0,115440.0,5,0,0,1,0,10,15373,15373.0,0,3,13,20167,20167.0,0,4,20,31740,31740.0,491,7,39,52285,52285.0,1376,12,0.0,7,0.026317299416658696,4.0,0
645265,4013.95,63,0,73313.0,3,0,1,1,0,2,3524,3524.0,0,2,3,4544,4544.0,381,3,9,14543,14543.0,381,7,20,31726,31726.0,381,11,0.0,1,0.012009077728046397,4.0,0
223587,4013.96,10,0,100167.0,3,0,0,1,0,4,5675,5675.0,0,2,7,11089,11089.0,0,4,17,29707,29707.0,554,8,17,29707,29707.0,554,8,0.0,1,0.018648803312350623,4.0,0
158560,4014.45,30,0,59262.0,3,0,1,1,0,7,7240,7240.0,493,2,8,9229,9229.0,493,3,16,23543,23543.0,1147,6,23,32181,32181.0,1743,9,1.0,6,0.054162393959168456,4.0,0
417584,4014.45,49,0,59262.0,3,0,1,1,0,3,3327,3327.0,0,1,9,7305,7305.0,0,4,18,23526,23526.0,607,7,28,38662,38662.0,607,10,2.0,-3,0.015700170710258133,4.0,0
566033,4015.21,36,0,73510.0,2,1,1,1,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,2
472521,6265.34,3,2,73510.0,2,0,1,1,0,31,24895,37342.5,0,3,34,28159,42238.5,0,4,34,28159,42238.5,0,4,34,28159,42238.5,0,4,0.0,28,0.0,2.0,0
425854,4016.13,19,0,39079.0,1,0,0,1,0,10,12154,12154.0,0,3,15,17483,17483.0,0,5,27,34759,34759.0,630,9,37,52145,52145.0,630,12,0.0,5,0.012081695272797009,4.0,1
174896,4016.54,38,0,73510.0,2,1,0,0,1,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,2
695855,4019.38,62,0,73510.0,2,0,0,0,0,12,10104,10104.0,0,3,13,11113,11113.0,0,4,19,18950,18950.0,0,8,28,35412,35412.0,436,13,0.0,11,0.012312210550096013,4.0,0
699511,4019.38,47,0,73510.0,2,0,0,0,0,0,0,0.0,0,0,3,6333,6333.0,0,1,14,24156,24156.0,0,4,23,37005,37005.0,0,8,4.0,-3,0.0,4.0,0
377322,4023.81,25,0,62518.0,3,0,0,1,0,11,13824,13824.0,430,3,13,17931,17931.0,430,5,25,42665,42665.0,1111,9,40,73294,73294.0,1489,13,0.0,9,0.02031544191884738,4.0,0
511053,4023.81,39,0,62518.0,3,0,1,1,0,0,0,0.0,0,0,3,2475,2475.0,0,1,9,13329,13329.0,371,4,18,27536,27536.0,802,7,3.0,-3,0.02912550842533411,4.0,0
890753,4025.1,9,0,73510.0,2,0,1,1,0,6,10608,10608.0,0,3,9,12750,12750.0,0,5,14,23150,23150.0,723,6,14,23150,23150.0,723,6,0.0,3,0.03123110151187905,3.0,0
796670,4035.68,52,0,47536.0,3,0,0,1,0,2,4550,4550.0,0,1,7,10574,10574.0,394,3,23,34102,34102.0,394,7,37,57796,57796.0,814,12,2.0,-3,0.01408401965533947,4.0,0
556136,4035.77,17,0,73510.0,2,0,0,1,0,6,6960,6960.0,0,1,10,12906,12906.0,0,3,21,23673,23673.0,0,7,28,30505,30505.0,521,11,0.0,2,0.017079167349614816,4.0,0
513081,4037.5,31,0,98320.0,3,0,0,1,0,4,2132,2132.0,0,1,7,6947,6947.0,0,3,14,22838,22838.0,414,6,19,29703,29703.0,995,10,0.0,1,0.033498299835033496,4.0,0
930718,4037.55,35,0,63577.0,1,0,0,1,0,8,13136,13136.0,0,2,12,21190,21190.0,0,4,27,38155,38155.0,325,9,38,50977,50977.0,1088,13,0.0,4,0.021342958589167665,4.0,0
235872,4046.94,63,0,89057.0,5,0,0,0,1,2,1248,1248.0,0,1,5,3507,3507.0,0,3,17,22373,22373.0,746,7,31,45483,45483.0,1221,10,1.0,-1,0.0268451949079876,4.0,0
881142,4046.94,21,0,89057.0,5,0,0,0,1,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,9,9859,9859.0,870,5,13.0,0,0.08824424383811745,2.0,1
295147,4048.16,13,0,99814.0,3,0,1,1,0,5,8365,8365.0,0,1,7,12058,12058.0,0,3,17,23992,23992.0,968,7,22,35487,35487.0,968,8,0.0,3,0.02727759461211148,3.0,0
306110,4053.37,61,0,64587.0,3,0,1,1,0,7,5911,5911.0,0,2,11,10947,10947.0,0,3,15,14739,14739.0,0,4,21,25412,25412.0,797,8,0.0,3,0.0313631355265229,3.0,0
