loyalty_number,loyalty_card,clv,province,enrollment_year,gender,marital_status,education,churn_score,risk_tier,final_segment,segment_name,strategic_quadrant,behaviour_cluster,flights_18m,active_months_18m,months_since_last_flight,flight_trend,redemption_ratio,seasons_flown,pts_earned_18m,distance_18m,enrollment_tenure_months,churn_label
480934,Star,3839.14,Ontario,2016,Female,Married,Bachelor,0.1645171,Low Risk,Loyalists,Road Warriors,Loyalists,1,24,9,1.0,6,0.0103563617650842,4.0,31092.0,31092,28,0
549612,Star,3839.61,Alberta,2016,Male,Divorced,College,0.27597925,Low Risk,Loyalists,Road Warriors,Loyalists,3,45,13,0.0,8,0.0202490275138101,4.0,56299.0,56299,27,0
429460,Star,3839.75,British Columbia,2014,Male,Single,College,0.97387606,High Risk,Sleeping/Lost,Road Warriors,Sleeping/Lost,1,18,8,5.0,-2,0.0150788211103495,4.0,24803.0,24803,47,1
608370,Star,3839.75,Ontario,2013,Male,Single,College,0.022513608,Low Risk,Loyalists,Road Warriors,Loyalists,3,30,13,0.0,0,0.0204962755610381,4.0,42154.0,42154,64,0
530508,Star,3842.79,Quebec,2014,Male,Married,Bachelor,0.08756001,Low Risk,Loyalists,Road Warriors,Loyalists,1,20,8,0.0,5,0.0,4.0,34361.0,34361,44,0
193662,Star,3844.57,Yukon,2012,Male,Married,Bachelor,0.012487594,Low Risk,Loyalists,Road Warriors,Loyalists,3,71,16,0.0,7,0.0071524887143108,4.0,119399.0,119399,73,0
927943,Star,3857.95,Ontario,2014,Female,Single,College,0.12831429,Low Risk,Loyalists,Road Warriors,Loyalists,3,29,11,0.0,5,0.0379497998225972,4.0,41713.0,41713,48,0
188893,Star,3861.49,Ontario,2016,Male,Married,Bachelor,0.024851102,Low Risk,Loyalists,Road Warriors,Loyalists,3,31,12,0.0,2,0.0133260612671575,4.0,55005.0,55005,18,0
852392,Star,3861.49,Quebec,2015,Female,Married,Bachelor,0.562678,Medium Risk,Sleeping/Lost,Road Warriors,Sleeping/Lost,3,25,10,2.0,1,0.0209839123338773,4.0,47179.0,47179,37,0
866307,Star,3861.49,Ontario,2016,Male,Married,Bachelor,0.081308804,Low Risk,Loyalists,Road Warriors,Loyalists,3,35,11,0.0,2,0.0387092322553935,4.0,43478.0,43478,20,0
932823,Star,3863.31,British Columbia,2015,Female,Married,Bachelor,0.038756024,Low Risk,Loyalists,Road Warriors,Loyalists,3,41,14,0.0,8,0.0072580762461636,4.0,68751.0,68751,39,0
144514,Star,3864.78,British Columbia,2016,Female,Married,Bachelor,0.29935682,Low Risk,Loyalists,Road Warriors,Loyalists,1,24,10,0.0,2,0.0136822997100978,4.0,36909.0,36909,24,0
611765,Star,3867.97,Quebec,2018,Male,Single,Bachelor,0.17920186,Low Risk,Loyalists,Occasional Flyers,Loyalists,4,10,4,1.0,-2,0.0,2.0,15756.0,15756,5,0
988178,Star,3871.07,Quebec,2013,Male,Single,College,0.026694963,Low Risk,Loyalists,Road Warriors,Loyalists,3,51,16,1.0,-1,0.0096543487224694,4.0,70331.0,70331,56,0
286114,Star,3872.22,Ontario,2016,Female,Single,College,0.02999304,Low Risk,Loyalists,Road Warriors,Loyalists,1,18,7,0.0,4,0.0663160595177013,3.0,23388.0,23388,19,0
205785,Star,3873.65,Ontario,2016,Male,Married,Master,0.11706976,Low Risk,Loyalists,Road Warriors,Loyalists,3,31,11,2.0,0,0.0277172080476565,4.0,44485.0,44485,22,0
735304,Star,3873.65,Alberta,2016,Female,Married,Master,0.0075575556,Low Risk,Loyalists,Road Warriors,Loyalists,1,18,12,0.0,1,0.0202228504906036,4.0,30065.0,30065,18,0
438936,Star,3878.77,Quebec,2013,Male,Married,Bachelor,0.13335794,Low Risk,Loyalists,Road Warriors,Loyalists,3,38,12,0.0,5,0.0104006002751261,4.0,47978.0,47978,56,0
172755,Aurora,5303.76,Alberta,2018,Female,Single,College,0.065759666,Low Risk,Loyalists,Road Warriors,Loyalists,0,21,3,0.0,21,0.0,2.0,26061.0,17374,3,0
354730,Star,3885.46,New Brunswick,2014,Female,Married,College,0.9964999,High Risk,Sleeping/Lost,Road Warriors,Sleeping/Lost,1,20,8,7.0,0,0.0,4.0,36872.0,36872,44,1
413741,Star,3885.46,Ontario,2015,Female,Married,College,0.124722,Low Risk,Loyalists,Road Warriors,Loyalists,3,30,11,1.0,2,0.0279911857542731,4.0,50373.0,50373,35,0
552965,Star,3885.46,Quebec,2018,Male,Married,College,0.005686772,Low Risk,Loyalists,Occasional Flyers,Loyalists,4,0,0,0.0,0,0.0,0.0,0.0,0,0,0
642313,Star,3885.46,Alberta,2016,Male,Married,College,0.6784001,Medium Risk,Sleeping/Lost,Road Warriors,Sleeping/Lost,3,33,13,0.0,8,0.03194806847833,4.0,47139.0,47139,27,1
263080,Star,3886.5,Alberta,2014,Male,Single,College,0.35658392,Low Risk,Loyalists,Road Warriors,Loyalists,1,22,9,0.0,0,0.0112181045942353,4.0,30843.0,30843,49,0
109767,Star,3886.65,Ontario,2016,Female,Single,Bachelor,0.054150984,Low Risk,Loyalists,Road Warriors,Loyalists,3,31,15,1.0,2,0.0357624004898958,4.0,48990.0,48990,25,0
217754,Star,3887.32,Quebec,2015,Female,Single,Bachelor,0.07999623,Low Risk,Loyalists,Road Warriors,Loyalists,3,26,9,0.0,4,0.0,3.0,43983.0,43983,36,0
157005,Star,3890.87,British Columbia,2016,Male,Married,Bachelor,0.07882613,Low Risk,Loyalists,Road Warriors,Loyalists,3,36,14,0.0,4,0.0,4.0,52738.0,52738,20,0
557752,Star,3890.87,Ontario,2017,Female,Married,Bachelor,0.6328212,Medium Risk,Sleeping/Lost,Road Warriors,Sleeping/Lost,1,11,4,1.0,-2,0.0389686837767836,2.0,16988.0,16988,8,0
608758,Star,3890.96,Ontario,2013,Male,Married,Bachelor,0.011788098,Low Risk,Loyalists,Road Warriors,Loyalists,3,25,12,0.0,-2,0.0,4.0,41760.0,41760,59,0
599341,Star,3891.54,Quebec,2015,Female,Married,Bachelor,0.021323066,Low Risk,Loyalists,Road Warriors,Loyalists,3,46,17,1.0,-3,0.0229317709038539,4.0,81241.0,81241,31,0
333502,Star,3891.58,British Columbia,2014,Male,Married,College,0.55126184,Medium Risk,Sleeping/Lost,Road Warriors,Sleeping/Lost,1,24,7,0.0,4,0.0,4.0,35456.0,35456,51,0
201574,Star,3893.31,Ontario,2015,Female,Married,Bachelor,1.0,Dormant,Dormant,Dormant,Sleeping/Lost,-1,0,0,0.0,0,0.0,0.0,0.0,0,38,2
403361,Star,3895.03,British Columbia,2017,Male,Single,Bachelor,0.9463346,High Risk,Sleeping/Lost,Occasional Flyers,Sleeping/Lost,4,8,3,3.0,-5,0.0,3.0,12611.0,12611,8,0
543918,Star,3896.57,Quebec,2012,Male,Married,High School or Below,0.003454935,Low Risk,Loyalists,Road Warriors,Loyalists,3,41,14,0.0,1,0.0415521130006749,4.0,60743.0,60743,67,0
806030,Star,3903.47,Alberta,2018,Female,Married,Bachelor,0.11874342,Low Risk,Loyalists,Occasional Flyers,Loyalists,4,4,1,0.0,4,0.0,1.0,8988.0,8988,1,0
119200,Star,3903.8,British Columbia,2017,Female,Divorced,Bachelor,0.27117923,Low Risk,Loyalists,Road Warriors,Loyalists,1,21,9,0.0,1,0.0153956964076708,4.0,33321.0,33321,13,0
938981,Aurora,5337.35,Alberta,2018,Female,Single,College,0.06960609,Low Risk,Loyalists,Occasional Flyers,Loyalists,4,8,1,1.0,8,0.0,1.0,13296.0,8864,2,0
238119,Star,3906.67,Quebec,2013,Male,Married,Bachelor,0.058081932,Low Risk,Loyalists,Road Warriors,Loyalists,3,42,12,0.0,3,0.00900821206894,4.0,67827.0,67827,61,0
730388,Star,3907.03,Ontario,2012,Male,Single,College,0.010106088,Low Risk,Loyalists,Road Warriors,Loyalists,3,30,12,1.0,1,0.0,4.0,41947.0,41947,73,0
834891,Star,3911.12,British Columbia,2017,Female,Married,Bachelor,1.0,Dormant,Dormant,Dormant,Sleeping/Lost,-1,0,0,0.0,0,0.0,0.0,0.0,0,15,2
127400,Star,3914.72,British Columbia,2014,Female,Single,College,0.55405676,Medium Risk,Sleeping/Lost,Road Warriors,Sleeping/Lost,1,24,10,0.0,7,0.0159492523787947,4.0,33105.0,33105,48,0
324557,Star,3914.72,Quebec,2013,Female,Single,College,0.26920548,Low Risk,Loyalists,Road Warriors,Loyalists,3,28,12,0.0,4,0.014132030411253,4.0,45641.0,45641,64,0
742002,Star,3915.8,Ontario,2016,Female,Single,College,0.4733109,Medium Risk,Sleeping/Lost,Road Warriors,Sleeping/Lost,1,21,7,2.0,-2,0.0,3.0,39601.0,39601,25,0
536567,Star,3919.37,Alberta,2016,Male,Married,Bachelor,0.03429987,Low Risk,Loyalists,Road Warriors,Loyalists,3,39,13,0.0,2,0.0178390913956115,4.0,50451.0,50451,25,0
704835,Star,3919.37,British Columbia,2016,Male,Married,Bachelor,0.019582637,Low Risk,Loyalists,Road Warriors,Loyalists,3,31,12,0.0,5,0.0196823839597768,4.0,48927.0,48927,21,0
733338,Star,3919.37,Ontario,2016,Female,Married,Bachelor,0.9998957,High Risk,Sleeping/Lost,Fading Flyers,Sleeping/Lost,2,3,1,17.0,0,0.0,1.0,4497.0,4497,24,1
758635,Star,3919.37,Quebec,2018,Male,Married,Bachelor,0.0022418066,Low Risk,Loyalists,Occasional Flyers,Loyalists,4,0,0,0.0,0,0.0,0.0,0.0,0,0,0
823048,Star,3919.37,British Columbia,2018,Male,Married,Bachelor,0.0049830857,Low Risk,Loyalists,Occasional Flyers,Loyalists,4,4,1,0.0,4,0.0,1.0,3184.0,3184,1,0
612905,Star,3920.51,Ontario,2015,Female,Married,College,0.40365672,Medium Risk,Sleeping/Lost,Road Warriors,Sleeping/Lost,3,27,11,1.0,-2,0.0142986379856259,4.0,39794.0,39794,40,0
679908,Star,3921.02,Quebec,2015,Female,Married,Bachelor,0.17260501,Low Risk,Loyalists,Road Warriors,Loyalists,3,31,13,2.0,-5,0.0198109962158771,4.0,49417.0,49417,34,0
704150,Star,3921.02,Manitoba,2014,Male,Married,Bachelor,0.027348747,Low Risk,Loyalists,Road Warriors,Loyalists,3,28,12,1.0,-1,0.0253184462965875,4.0,38154.0,38154,44,0
869743,Star,3924.42,Ontario,2016,Female,Single,Bachelor,0.99985874,High Risk,Sleeping/Lost,Fading Flyers,Sleeping/Lost,2,15,5,11.0,0,0.0,3.0,16548.0,16548,19,1
596179,Star,3933.81,New Brunswick,2014,Female,Single,Bachelor,0.024091994,Low Risk,Loyalists,Road Warriors,Loyalists,3,41,13,0.0,7,0.0,4.0,75943.0,75943,51,0
370450,Star,3934.1,Ontario,2012,Female,Married,High School or Below,0.02291015,Low Risk,Loyalists,Road Warriors,Loyalists,1,26,10,0.0,-2,0.0435028959959707,4.0,31768.0,31768,67,0
501030,Star,3934.71,British Columbia,2017,Male,Married,Bachelor,0.018216524,Low Risk,Loyalists,Road Warriors,Loyalists,1,22,10,1.0,3,0.0,4.0,25299.0,25299,15,0
878633,Star,3936.79,Ontario,2013,Female,Married,Doctor,0.045443155,Low Risk,Loyalists,Road Warriors,Loyalists,3,37,11,0.0,-2,0.0,4.0,47664.0,47664,54,0
285938,Star,3939.01,Quebec,2014,Female,Married,Bachelor,0.22875987,Low Risk,Loyalists,Road Warriors,Loyalists,3,31,11,1.0,-5,0.0,4.0,46476.0,46476,45,0
588237,Star,3939.01,Quebec,2013,Male,Married,Bachelor,0.219916,Low Risk,Loyalists,Road Warriors,Loyalists,1,24,9,3.0,-1,0.0383735185941969,4.0,24470.0,24470,55,0
645280,Star,3939.01,British Columbia,2012,Male,Married,Bachelor,0.070004605,Low Risk,Loyalists,Road Warriors,Loyalists,3,37,12,0.0,-1,0.0162958508719182,4.0,49890.0,49890,66,0
